freq	dB(S21_fitted)
5.70507812500000000E+09	-9.11972644018671552E+00
5.70703125000000000E+09	-8.99281012522331125E+00
5.70898437500000000E+09	-8.86994542280023524E+00
5.71093750000000000E+09	-8.75125318088987747E+00
5.71289062500000000E+09	-8.63684211959248671E+00
5.71484375000000000E+09	-8.52680769221337798E+00
5.71679687500000000E+09	-8.42123105465465471E+00
5.71875000000000000E+09	-8.32017816529402410E+00
5.72265625000000000E+09	-8.13182714705121867E+00
5.72656250000000000E+09	-7.96195416465113848E+00
5.73046875000000000E+09	-7.81048606942528600E+00
5.73437500000000000E+09	-7.67707968725211298E+00
5.73828125000000000E+09	-7.56113652851584028E+00
5.74218750000000000E+09	-7.46182820093841936E+00
5.74609375000000000E+09	-7.37813026900430557E+00
5.75000000000000000E+09	-7.30886173704751752E+00
5.75390625000000000E+09	-7.25272714964334320E+00
5.75781250000000000E+09	-7.20835847822727782E+00
5.76171875000000000E+09	-7.17435441438339794E+00
5.76562500000000000E+09	-7.14931530543144156E+00
5.76953125000000000E+09	-7.13187263285787854E+00
5.77343750000000000E+09	-7.12071255521957802E+00
5.77734375000000000E+09	-7.11459355241169344E+00
5.78125000000000000E+09	-7.11235858844164870E+00
5.78515625000000000E+09	-7.11294245301931394E+00
5.78906250000000000E+09	-7.11537506461396330E+00
5.79296875000000000E+09	-7.11878154483280401E+00
5.79687500000000000E+09	-7.12237983406287078E+00
5.80078125000000000E+09	-7.12547653692709559E+00
5.80468750000000000E+09	-7.12746158407087549E+00
5.80859375000000000E+09	-7.12780218942789823E+00
5.81250000000000000E+09	-7.12603647957278064E+00
5.82031250000000000E+09	-7.11465486462748586E+00
5.82812500000000000E+09	-7.09080145432058728E+00
5.83593750000000000E+09	-7.05271262639245311E+00
5.84375000000000000E+09	-6.99922103865254552E+00
5.85156250000000000E+09	-6.92962988680817737E+00
5.85937500000000000E+09	-6.84361503662870696E+00
5.86718750000000000E+09	-6.74115154813669015E+00
5.87500000000000000E+09	-6.62246070229916217E+00
5.88281250000000000E+09	-6.48797386925872566E+00
5.89062500000000000E+09	-6.33831002694018153E+00
5.89843750000000000E+09	-6.17426423400556335E+00
5.90625000000000000E+09	-5.99680477045719496E+00
5.91406250000000000E+09	-5.80707692853265645E+00
5.92187500000000000E+09	-5.60641154110201523E+00
5.92968750000000000E+09	-5.39633626575816550E+00
5.93750000000000000E+09	-5.17858740408272489E+00
5.94531250000000000E+09	-4.95511964809796890E+00
5.95312500000000000E+09	-4.72811065790918406E+00
5.96093750000000000E+09	-4.49995687549228496E+00
5.96875000000000000E+09	-4.27325661372369581E+00
5.97265625000000000E+09	-4.16131085144651092E+00
5.97656250000000000E+09	-4.05077643124886588E+00
5.98046875000000000E+09	-3.94201664379169436E+00
5.98437500000000000E+09	-3.83539736201351289E+00
5.98828125000000000E+09	-3.73128413651430391E+00
5.99218750000000000E+09	-3.63003895991513481E+00
5.99609375000000000E+09	-3.53201673523519277E+00
6.00000000000000000E+09	-3.43756149915860920E+00
6.00390625000000000E+09	-3.34700246711972849E+00
6.00781250000000000E+09	-3.26064998247870763E+00
6.01171875000000000E+09	-3.17879146561419912E+00
6.01562500000000000E+09	-3.10168746939793483E+00
6.01953125000000000E+09	-3.02956795414938806E+00
6.02343750000000000E+09	-2.96262889686620134E+00
6.02734375000000000E+09	-2.90102934562783510E+00
6.03125000000000000E+09	-2.84488902029082569E+00
6.03515625000000000E+09	-2.79428654509581031E+00
6.03906250000000000E+09	-2.74925837822447727E+00
6.04296875000000000E+09	-2.70979847876479596E+00
6.04687500000000000E+09	-2.67585872441870087E+00
6.05078125000000000E+09	-2.64735006531360906E+00
6.05468750000000000E+09	-2.62414437223420283E+00
6.05859375000000000E+09	-2.60607691316122470E+00
6.06250000000000000E+09	-2.59294937162927353E+00
6.06640625000000000E+09	-2.58453330516114832E+00
6.07031250000000000E+09	-2.58057393251615874E+00
6.07421875000000000E+09	-2.58079413484383613E+00
6.07812500000000000E+09	-2.58489855775707555E+00
6.08203125000000000E+09	-2.59257770815620070E+00
6.08593750000000000E+09	-2.60351195040431538E+00
6.08984375000000000E+09	-2.61737532008401264E+00
6.09375000000000000E+09	-2.63383908892458374E+00
6.09765625000000000E+09	-2.65257503050930410E+00
