freq	dB(S11_fitted)
7.25000000000000000E+09	-1.41598952529847448E+01
7.25781250000000000E+09	-1.50212086004556440E+01
7.26562500000000000E+09	-1.59798989559437103E+01
7.27343750000000000E+09	-1.70404348397058811E+01
7.28125000000000000E+09	-1.81950568280740939E+01
7.28906250000000000E+09	-1.94055908721635504E+01
7.29687500000000000E+09	-2.05689312615894409E+01
7.30468750000000000E+09	-2.14771964171711716E+01
7.31250000000000000E+09	-2.18497065051971937E+01
7.32031250000000000E+09	-2.15296438580887575E+01
7.32812500000000000E+09	-2.06489904209952080E+01
7.33593750000000000E+09	-1.94873325859683852E+01
7.34375000000000000E+09	-1.82631252278470555E+01
7.35156250000000000E+09	-1.70880020765822778E+01
7.35937500000000000E+09	-1.60045078495420476E+01
7.36718750000000000E+09	-1.50222188200154072E+01
7.37500000000000000E+09	-1.41372734939604356E+01
7.38281250000000000E+09	-1.33412035927614863E+01
7.39062500000000000E+09	-1.26246084261998721E+01
7.39843750000000000E+09	-1.19785679678348895E+01
7.40625000000000000E+09	-1.13951036850441803E+01
7.41406250000000000E+09	-1.08672530505888236E+01
7.42187500000000000E+09	-1.03889985507492728E+01
7.42968750000000000E+09	-9.95515210846719967E+00
7.43750000000000000E+09	-9.56123572262915822E+00
7.44531250000000000E+09	-9.20337335679601054E+00
7.45312500000000000E+09	-8.87819824101320343E+00
7.46093750000000000E+09	-8.58277537597937368E+00
7.46875000000000000E+09	-8.31453747399384469E+00
7.47656250000000000E+09	-8.07123221155045023E+00
7.48437500000000000E+09	-7.85087878450270527E+00
7.49218750000000000E+09	-7.65173203274413538E+00
7.50000000000000000E+09	-7.47225270349139592E+00
7.50781250000000000E+09	-7.31108269835416191E+00
7.51562500000000000E+09	-7.16702438330911740E+00
7.52343750000000000E+09	-7.03902323155434928E+00
7.53125000000000000E+09	-6.92615322184729099E+00
7.53906250000000000E+09	-6.82760453573439996E+00
7.54687500000000000E+09	-6.74267319228783002E+00
7.55468750000000000E+09	-6.67075233399232381E+00
7.56250000000000000E+09	-6.61132493672735055E+00
7.57031250000000000E+09	-6.56395776393901453E+00
7.57812500000000000E+09	-6.52829642289185497E+00
7.58593750000000000E+09	-6.50406141152472284E+00
7.59375000000000000E+09	-6.49104506959618632E+00
7.60156250000000000E+09	-6.48910936880696543E+00
7.60937500000000000E+09	-6.49818449444154034E+00
7.61718750000000000E+09	-6.51826818655670515E+00
7.62500000000000000E+09	-6.54942582246183935E+00
7.63281250000000000E+09	-6.59179123462871086E+00
7.64062500000000000E+09	-6.64556826955417357E+00
7.64843750000000000E+09	-6.71103310366628669E+00
7.65625000000000000E+09	-6.78853734215211979E+00
7.66406250000000000E+09	-6.87851193545476569E+00
7.67187500000000000E+09	-6.98147195573329249E+00
7.67968750000000000E+09	-7.09802228099550714E+00
7.68750000000000000E+09	-7.22886423648781573E+00
7.69531250000000000E+09	-7.37480323884379008E+00
7.70312500000000000E+09	-7.53675747445754052E+00
7.71093750000000000E+09	-7.71576761297106550E+00
7.71875000000000000E+09	-7.91300749882205334E+00
7.72656250000000000E+09	-8.12979566067639503E+00
7.73437500000000000E+09	-8.36760730086148286E+00
7.74218750000000000E+09	-8.62808612584421475E+00
7.75000000000000000E+09	-8.91305487299486821E+00
7.75781250000000000E+09	-9.22452254186958598E+00
7.76562500000000000E+09	-9.56468491990717951E+00
7.77343750000000000E+09	-9.93591261329807018E+00
7.78125000000000000E+09	-1.03407167941524776E+01
7.78906250000000000E+09	-1.07816761428026844E+01
7.79687500000000000E+09	-1.12612971517579155E+01
7.80468750000000000E+09	-1.17817611011099146E+01
7.81250000000000000E+09	-1.23444802110503780E+01
7.82031250000000000E+09	-1.29493373533944549E+01
7.82812500000000000E+09	-1.35934156645605100E+01
7.83593750000000000E+09	-1.42689507603530092E+01
7.84375000000000000E+09	-1.49602312230015766E+01
7.85156250000000000E+09	-1.56394534424567482E+01
7.85937500000000000E+09	-1.62625795840319967E+01
7.86718750000000000E+09	-1.67685485216380279E+01
7.87500000000000000E+09	-1.70877384648626283E+01
7.87890625000000000E+09	-1.71582747590271083E+01
7.88281250000000000E+09	-1.71633325513003356E+01
7.88671875000000000E+09	-1.71020993219326520E+01
7.89062500000000000E+09	-1.69770241916281570E+01
7.89453125000000000E+09	-1.67934549002632885E+01
7.89843750000000000E+09	-1.65588901291483737E+01
7.90234375000000000E+09	-1.62820529819792341E+01
7.90625000000000000E+09	-1.59719983224633459E+01
7.91406250000000000E+09	-1.52860922487137962E+01
7.92187500000000000E+09	-1.45591408937723763E+01
7.92968750000000000E+09	-1.38316538700927296E+01
7.93750000000000000E+09	-1.31287375136876072E+01
7.94531250000000000E+09	-1.24644345254830071E+01
7.95312500000000000E+09	-1.18456594851454344E+01
7.96093750000000000E+09	-1.12750340845215984E+01
7.96875000000000000E+09	-1.07527301238239108E+01
7.97656250000000000E+09	-1.02776071017417188E+01
7.98437500000000000E+09	-9.84789575900353853E+00
7.99218750000000000E+09	-9.46160333794280461E+00
8.00000000000000000E+09	-9.11675285677383584E+00
8.00781250000000000E+09	-8.81152528784313382E+00
8.01562500000000000E+09	-8.54434619827905273E+00
8.02343750000000000E+09	-8.31394186482201292E+00
8.03125000000000000E+09	-8.11938005522428874E+00
8.03906250000000000E+09	-7.96010490570837348E+00
8.04687500000000000E+09	-7.83597195880147268E+00
8.05468750000000000E+09	-7.74728743971637002E+00
8.06250000000000000E+09	-7.69485459012657103E+00
8.07031250000000000E+09	-7.68002886541835217E+00
8.07812500000000000E+09	-7.70478256739881040E+00
8.08593750000000000E+09	-7.77177739592336891E+00
8.09375000000000000E+09	-7.88443939188728127E+00
8.10156250000000000E+09	-8.04702281616253146E+00
8.10937500000000000E+09	-8.26463378244931768E+00
8.11718750000000000E+09	-8.54315325115168633E+00
8.12500000000000000E+09	-8.88893706013266716E+00
8.13281250000000000E+09	-9.30804845808726711E+00
8.14062500000000000E+09	-9.80454283563010165E+00
8.14843750000000000E+09	-1.03768990292050489E+01
8.15625000000000000E+09	-1.10110626500097393E+01
8.16015625000000000E+09	-1.13406188906230998E+01
8.16406250000000000E+09	-1.16682335501876615E+01
8.16796875000000000E+09	-1.19823662155166986E+01
8.17187500000000000E+09	-1.22679716447899683E+01
8.17578125000000000E+09	-1.25067799377976279E+01
8.17968750000000000E+09	-1.26785866793364548E+01
8.18359375000000000E+09	-1.27638122857244536E+01
8.18750000000000000E+09	-1.27470667455091462E+01
8.19140625000000000E+09	-1.26206946455139128E+01
8.19531250000000000E+09	-1.23868305612415970E+01
8.19921875000000000E+09	-1.20569565333238380E+01
8.20312500000000000E+09	-1.16491797994399189E+01
8.20703125000000000E+09	-1.11845030923030997E+01
8.21093750000000000E+09	-1.06834922452292513E+01
8.21484375000000000E+09	-1.01641188453077049E+01
8.21875000000000000E+09	-9.64083038637071255E+00
8.22265625000000000E+09	-9.12450187511276667E+00
8.22656250000000000E+09	-8.62286055544876540E+00
8.23046875000000000E+09	-8.14107955056946508E+00
8.23437500000000000E+09	-7.68236669306736353E+00
8.23828125000000000E+09	-7.24847200616744125E+00
8.24218750000000000E+09	-6.84009366859613266E+00
8.24609375000000000E+09	-6.45718897988665752E+00
8.25000000000000000E+09	-6.09920638888169186E+00
8.25781250000000000E+09	-5.45423253023490506E+00
8.26562500000000000E+09	-4.89598463601283385E+00
8.27343750000000000E+09	-4.41413810520403072E+00
8.28125000000000000E+09	-3.99853278672322565E+00
8.28906250000000000E+09	-3.63978949827242904E+00
8.29687500000000000E+09	-3.32955861784050988E+00
8.30468750000000000E+09	-3.06057253874681923E+00
8.31250000000000000E+09	-2.82659712321871659E+00
8.32031250000000000E+09	-2.62233569316945081E+00
8.32812500000000000E+09	-2.44331565814543161E+00
8.33593750000000000E+09	-2.28577427133574940E+00
8.34375000000000000E+09	-2.14655199482295522E+00
8.35156250000000000E+09	-2.02299726620340836E+00
8.35937500000000000E+09	-1.91288378227729439E+00
8.36718750000000000E+09	-1.81433996300806588E+00
8.37500000000000000E+09	-1.72578954173522847E+00
8.38281250000000000E+09	-1.64590194065896589E+00
8.39062500000000000E+09	-1.57355104480960928E+00
8.39843750000000000E+09	-1.50778106784870469E+00
8.40625000000000000E+09	-1.44777834074186496E+00
8.41406250000000000E+09	-1.39284801050401086E+00
8.42187500000000000E+09	-1.34239478971711135E+00
8.42968750000000000E+09	-1.29590703796979700E+00
8.43750000000000000E+09	-1.25294357959949898E+00
8.45312500000000000E+09	-1.17611339030274342E+00
8.46875000000000000E+09	-1.10941206277934379E+00
8.48437500000000000E+09	-1.05094016475626018E+00
8.50000000000000000E+09	-9.99232283043191560E-01
8.51562500000000000E+09	-9.53144573677616291E-01
8.53125000000000000E+09	-9.11774195859542447E-01
8.54687500000000000E+09	-8.74400943834845346E-01
8.56250000000000000E+09	-8.40444495814220427E-01
8.57812500000000000E+09	-8.09432766761208011E-01
8.59375000000000000E+09	-7.80978239281531872E-01
