frequency_hz	frequency_ghz	s11_real	s11_imag	s11_mag	s11_db	s11_phase_deg	s21_real	s21_imag	s21_mag	s21_db	s21_phase_deg	s12_real	s12_imag	s12_mag	s12_db	s12_phase_deg	s22_real	s22_imag	s22_mag	s22_db	s22_phase_deg
7000000000.0	7.0	0.2974664410019822	0.20787371351753903	0.36290186592790846	-8.804215975745775	34.94638888290209	0.5370540671003623	-0.6330655270522743	0.8301801205347031	-1.6165534086814266	-49.69076456777923	0.5370540671003623	-0.6330655270522743	0.8301801205347031	-1.6165534086814266	-49.69076456777923	0.28671942564972197	0.2178576410016957	0.36009718242126	-8.871605535011748	37.228611195765765
7007812500.0	7.0078125	0.31437379786598124	0.19998539105137536	0.37259232603296105	-8.575321882829883	32.46202494291699	0.5003183704782126	-0.6581884427080648	0.8267590325798936	-1.6524210319277381	-52.7599158603822	0.5003183704782126	-0.6581884427080648	0.8267590325798936	-1.6524210319277381	-52.7599158603822	0.3050411973327063	0.20920269330514052	0.3698863324810688	-8.638634316526188	34.443024535188336
7015625000.0	7.015625	0.33026958430721987	0.1904179497377163	0.38123089316158426	-8.376238268440462	29.965731971303644	0.4628637206863468	-0.6812524898522326	0.8236187096329677	-1.6854759268969108	-55.806616326133934	0.4628637206863468	-0.6812524898522326	0.8236187096329677	-1.6854759268969108	-55.806616326133934	0.3222607669931611	0.1987059906350943	0.3785975074631298	-8.43644499173245	31.657983879099458
7023437500.0	7.0234375	0.3450169838987449	0.17930824742704243	0.3888292257199094	-8.2048219895312	27.461281701740095	0.4247804020236987	-0.7023168913114619	0.8207846281240962	-1.715415714805884	-58.83330760399952	0.4247804020236987	-0.7023168913114619	0.8207846281240962	-1.715415714805884	-58.83330760399952	0.338227684974501	0.1865125484668264	0.3862446085303982	-8.262751394155867	28.874135076543592
7031250000.0	7.03125	0.3584956683782914	0.16679909465905873	0.3953999016503159	-8.059268860928995	24.951384375288647	0.3861423824059653	-0.7214385314195395	0.8182783720146443	-1.7419785509330545	-61.842552170446076	0.3861423824059653	-0.7214385314195395	0.8182783720146443	-1.7419785509330545	-61.842552170446076	0.35280865205213946	0.1727740173318335	0.39284196062517085	-8.115642602289673	26.091465829658336
7039062500.0	7.0390625	0.3706008245774448	0.15303775417460241	0.4009557648672582	-7.938070758755479	22.43793269553049	0.3470090303620904	-0.7386697758578623	0.816117825389657	-1.764942726331388	-64.837007714454	0.3470090303620904	-0.7386697758578623	0.816117825389657	-1.764942726331388	-64.837007714454	0.3658864863601323	0.15764714770173027	0.39840374506203435	-7.993531755763394	23.30944827971414
7046875000.0	7.046875	0.38124217712205866	0.1381747923190344	0.40550939674584047	-7.8399815512472495	19.9221937798586	0.30742695928033853	-0.7540566542867765	0.814317366366776	-1.7841260643830148	-67.81940408928045	0.30742695928033853	-0.7540566542867765	0.814317366366776	-1.7841260643830148	-67.81940408928045	0.3773590910494236	0.14129263291219707	0.40294353414952333	-7.8951161752140395	20.527150449344646
7054687500.0	7.0546875	0.3903430678563238	0.12236323839605201	0.4090726985931176	-7.763990084733575	17.404963333664387	0.26743195071551484	-0.767637373509495	0.8128880522384749	-1.7993851924900701	-70.79252261358913	0.26743195071551484	-0.767637373509495	0.8128880522384749	-1.7993851924900701	-70.79252261358913	0.38713848834227726	0.12387428362885733	0.40647391958218687	-7.819346292660528	17.74332472428241
7062500000.0	7.0625	0.39783963961230834	0.10575800413730829	0.41165657323302673	-7.709298909747871	14.886692341498225	0.2270509225709675	-0.7794411284810951	0.8118377881130013	-1.8106147542152247	-73.75917743677147	0.2270509225709675	-0.7794411284810951	0.8118377881130013	-1.8106147542152247	-73.75917743677147	0.39514997168973093	0.10555848310881388	0.40900622670398173	-7.765401605007439	14.95647921485034
7070312500.0	7.0703125	0.4036801602789309	0.08851551374654831	0.41327069576324754	-7.675307772397252	12.367593934599642	0.1863039197804585	-0.7894871808679859	0.811171473413879	-1.8177466127980977	-76.72219864562011	0.1863039197804585	-0.7894871808679859	0.811171473413879	-1.8177466127980977	-76.72219864562011	0.4013314155480642	0.08651387053452164	0.41055030739323156	-7.732672367255123	12.164936267887207
