"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port2,Port2)) []"
5.7,-14.422713903194,-0.593969874467638,-0.593969874467568,-14.7285584328772
5.75,-14.3309870728653,-0.601754308595789,-0.601754308595727,-14.6444603735019
5.8,-14.2403502542536,-0.60931187007,-0.609311870070006,-14.561148265551
5.85,-14.1509052402602,-0.616881933886769,-0.616881933886796,-14.4787455047027
5.9,-14.0627542818584,-0.624502800746563,-0.62450280074659,-14.3973737592796
5.95,-13.9760037022543,-0.632169935465119,-0.632169935465159,-14.3171532182966
6,-13.8907657532666,-0.639870992564924,-0.639870992564951,-14.2382028523424
6.05,-13.807158679189,-0.64759308902635,-0.647593089026393,-14.1606407244461
6.1,-13.725305410018,-0.655324109086627,-0.655324109086673,-14.0845844072185
6.15,-13.6453315094198,-0.663052732486151,-0.663052732486199,-14.010151596753
6.2,-13.5673629632771,-0.670768238626286,-0.670768238626337,-13.9374610750921
6.25,-13.4915242162988,-0.678460318879387,-0.678460318879431,-13.8666342842415
6.3,-13.417936659172,-0.686118936666085,-0.686118936666123,-13.7977979780099
6.35,-13.3467176069609,-0.693734231549488,-0.693734231549527,-13.7310887881776
6.4,-13.2779797127251,-0.701296456610138,-0.701296456610161,-13.6666611897476
6.45,-13.2118307199628,-0.708795939641336,-0.708795939641361,-13.6047013299098
6.5,-13.1483734538955,-0.71622306119586,-0.716223061195879,-13.545449854374
6.55,-13.0877059664737,-0.723568244626857,-0.723568244626881,-13.4892327426
6.6,-13.0299217706896,-0.73082195479211,-0.730821954792125,-13.4364697190445
6.65,-12.9751101194546,-0.737974703138336,-0.73797470313835,-13.3875138464633
6.7,-12.9233563000983,-0.745017057590226,-0.745017057590253,-13.3419881593495
6.75,-12.8747419269461,-0.751939656146526,-0.751939656146541,-13.297973213672
6.8,-12.8293452219709,-0.758733223410785,-0.758733223410791,-13.2535744007753
6.85,-12.7872412780503,-0.765388589509232,-0.765388589509249,-13.2096377266377
6.9,-12.7485023017414,-0.771896711005987,-0.771896711005989,-13.1681902480526
6.95,-12.7131978333879,-0.778248693539918,-0.77824869353993,-13.1302999036838
7,-12.6813949423077,-0.784435815993652,-0.784435815993645,-13.0962052229092
7.05,-12.6531583941368,-0.7904495560724,-0.79044955607239,-13.0658701910208
7.1,-12.6285507863912,-0.79628161722978,-0.796281617229786,-13.0392254365557
7.15,-12.607632647168,-0.801923956932016,-0.801923956932011,-13.0162273136512
7.2,-12.590462490855,-0.807368816310686,-0.807368816310694,-12.9968614650054
7.25,-12.5770968240471,-0.812608751323052,-0.812608751323049,-12.9811352959325
7.3,-12.5675900949617,-0.817636665624619,-0.817636665624625,-12.9690706538817
7.35,-12.5619945811628,-0.822445845476968,-0.822445845476956,-12.9606985958418
7.4,-12.5603602142627,-0.827029997177126,-0.82702999717712,-12.9560559803306
7.45,-12.5627343479331,-0.831383287733294,-0.831383287733287,-12.955183340517
7.5,-12.5691614890683,-0.835500389861994,-0.835500389862,-12.9581236040767
7.55,-12.5796830341566,-0.839376532910337,-0.839376532910341,-12.9649213661368
7.6,-12.5943370874794,-0.843007562114799,-0.843007562114795,-12.9756225266666
7.65,-12.6131584888239,-0.846390009863823,-0.846390009863824,-12.9902741725275
7.7,-12.6361792496316,-0.849521184618563,-0.849521184618569,-13.0089246276235
7.75,-12.6634296887803,-0.852399286343876,-0.852399286343886,-13.0316236213599
7.8,-12.6949406661613,-0.855023562549495,-0.855023562549502,-13.0584225421217
7.85,-12.7307474130814,-0.857394527830261,-0.857394527830277,-13.0893747526088
7.9,-12.7708955083803,-0.85951428484428,-0.859514284844287,-13.1245359499727
7.95,-12.8154494703494,-0.861387011061995,-0.86138701106201,-13.1639645572029
8,-12.8645041182414,-0.863019723110629,-0.863019723110641,-13.2077221339502
8.05,-12.9181981923483,-0.864423518346189,-0.864423518346194,-13.2558737954385
8.1,-12.9767286703533,-0.865615660294974,-0.865615660294984,-13.308488627565
8.15,-13.0403629371377,-0.866623201327329,-0.866623201327328,-13.3656400848596
8.2,-13.1094449206625,-0.867489491446324,-0.8674894914463,-13.4274063556673
8.25,-13.1843912396339,-0.868286258441383,-0.868286258441332,-13.4938706756993
8.3,-13.2656750117576,-0.869136642407343,-0.869136642407236,-13.5651215668303
8.35,-13.3537982972392,-0.87025955704638,-0.870259557046169,-13.6412529725204
8.4,-13.4492581525774,-0.87205164280018,-0.872051642799832,-13.7223642542563
8.45,-13.5525140482724,-0.875207519342466,-0.875207519341873,-13.8085600046011
8.5,-13.6639643289738,-0.880707330043149,-0.880707330042276,-13.8999496214148
8.55,-13.7839363147855,-0.888785533137639,-0.888785533136658,-13.9966465740333
8.6,-13.9126900973605,-0.895929672668459,-0.89592967266794,-14.0987672750781
8.65,-14.0504322417394,-0.896260323707034,-0.896260323707122,-14.2064294503697
8.7,-14.1973338678156,-0.890544090104262,-0.890544090104476,-14.3197498733246
8.75,-14.3535479957916,-0.883511893596945,-0.883511893597052,-14.4388412982845
8.8,-14.5192226936836,-0.877383480586367,-0.877383480586368,-14.5638083885224
8.85,-14.6945084107508,-0.872403665413296,-0.87240366541324,-14.6947423882944
8.9,-14.8795592528378,-0.868314777333159,-0.868314777333109,-14.8317142336292
8.95,-15.0745286620865,-0.86485610011345,-0.86485610011338,-14.9747657335548
9,-15.2795601149883,-0.861847577458241,-0.861847577458169,-15.12389838325
9.05,-15.4947732595783,-0.859178476685887,-0.859178476685819,-15.2790592963403
9.1,-15.7202455604571,-0.856785823684406,-0.856785823684341,-15.440123671748
9.15,-15.9559891301567,-0.854638064268052,-0.854638064268008,-15.6068731530842
9.2,-16.2019220617431,-0.852724404951887,-0.852724404951852,-15.7789694157129
9.25,-16.4578332741221,-0.851048099931409,-0.85104809993138,-15.9559223606225
9.3,-16.7233396671089,-0.849622219447675,-0.849622219447661,-16.1370524542012
9.35,-16.9978343042321,-0.848466941156183,-0.848466941156146,-16.321447099759
9.4,-17.2804244809599,-0.847607777731841,-0.847607777731822,-16.5079115559632
9.45,-17.5698590338361,-0.847074386498267,-0.847074386498266,-16.6949159477072
9.5,-17.8644453125908,-0.846899746045721,-0.846899746045732,-16.8805414725067
9.55,-18.1619581592917,-0.847119567459524,-0.847119567459539,-17.0624310857625
9.6,-18.4595463518582,-0.847771857232639,-0.847771857232654,-17.23775274037
9.65,-18.7536465651607,-0.848896578940935,-0.848896578940949,-17.403186421019
9.7,-19.0399210173322,-0.850535379278217,-0.850535379278228,-17.5549491243718
9.75,-19.3132420096826,-0.852731355690567,-0.852731355690552,-17.6888734384188
9.8,-19.5677528069646,-0.855528850311035,-0.855528850311054,-17.8005537926149
9.85,-19.7970364430916,-0.858973259772186,-0.85897325977222,-17.885567943109
9.9,-19.9944173766002,-0.863110853728164,-0.86311085372819,-17.9397686830512
9.95,-20.1534008964045,-0.867988597136458,-0.867988597136448,-17.9596229732636
10,-20.2682207126538,-0.87365397289878,-0.873653972898789,-17.9425566007782
