"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port2,Port2)) []"
5.1,-0.043097790917262,-88.9167899018308,-88.9167899018308,-0.0142689549164055
5.15,-0.0521780805670537,-88.6910491592724,-88.6910491592724,-0.0144481144193157
5.2,-0.0678963174402608,-88.479825370385,-88.479825370385,-0.0146299303394009
5.25,-0.0964838755239176,-88.280996606124,-88.280996606124,-0.0148144564727115
5.3,-0.14773960921227,-88.0927508330733,-88.0927508330733,-0.0150017484468436
5.35,-0.217285681125687,-87.9135264683973,-87.9135264683973,-0.0151918640329879
5.4,-0.240999017161749,-87.7419643529705,-87.7419643529705,-0.0153848635436953
5.45,-0.19254367436388,-87.5768691158853,-87.5768691158853,-0.0155808103470613
5.5,-0.138641521985745,-87.4171782280143,-87.4171782280143,-0.0157797715413567
5.55,-0.103417673127018,-87.2619373395061,-87.2619373395061,-0.0159818188536766
5.6,-0.0821321318011613,-87.1102807549654,-87.1102807549654,-0.0161870298563169
5.65,-0.0689051015240792,-86.9614161178479,-86.9614161178479,-0.0163954896414719
5.7,-0.060285013699549,-86.8146125540694,-86.8146125540694,-0.016607293169021
5.75,-0.0544048190236216,-86.669191667915,-86.669191667915,-0.016822548623315
5.8,-0.0502334839443121,-86.5245208958162,-86.5245208958162,-0.017041382316181
5.85,-0.047176642411105,-86.3800088102451,-86.3800088102451,-0.0172639460187533
5.9,-0.0448758258948695,-86.2351020314447,-86.2351020314447,-0.0174904282145451
5.95,-0.0431056060332197,-86.0892834531285,-86.0892834531285,-0.0177210718802009
6,-0.0417188435287445,-85.9420715234249,-85.9420715234249,-0.017956203512286
6.05,-0.0406163057504076,-85.7930203476045,-85.7930203476045,-0.0181962822904676
6.1,-0.0397291210889301,-85.641720397571,-85.641720397571,-0.0184419868864232
6.15,-0.0390082686772467,-85.4877996274442,-85.4877996274442,-0.0186943761073954
6.2,-0.03841807086049,-85.3309248072026,-85.3309248072026,-0.018955202023996
6.25,-0.0379320425924145,-85.1708028992824,-85.1708028992824,-0.0192275544412136
6.3,-0.0375301726396717,-85.007182317813,-85.007182317813,-0.0195172503290829
6.35,-0.0371970995113347,-84.8398539278775,-84.8398539278775,-0.0198358203090873
6.4,-0.0369208609702638,-84.6686516633399,-84.6686516633399,-0.0202053370750307
6.45,-0.0366920198698873,-84.4934526663609,-84.4934526663609,-0.0206477633382471
6.5,-0.0365030421494904,-84.3141768791879,-84.3141768791879,-0.0210519515477525
6.55,-0.0363478470626815,-84.1307860481394,-84.1307860481394,-0.0211642400873079
6.6,-0.0362214771279465,-83.943282129607,-83.9432821296069,-0.0212140799045204
6.65,-0.0361198526491091,-83.7517051168406,-83.7517051168406,-0.0213707120474184
6.7,-0.0360395868647468,-83.5561303327731,-83.5561303327731,-0.0215964913668413
6.75,-0.0359778451602314,-83.3566652567991,-83.3566652567991,-0.0218563835754532
6.8,-0.0359322367095304,-83.1534459711962,-83.1534459711962,-0.0221346490863103
6.85,-0.0359007302664471,-82.9466333250644,-82.9466333250644,-0.0224244772736348
6.9,-0.0358815881361271,-82.7364089200274,-82.7364089200274,-0.022722756878527
6.95,-0.0358733139735577,-82.5229710226463,-82.5229710226463,-0.0230279816558422
7,-0.0358746111982815,-82.3065305041102,-82.3065305041102,-0.0233393925399015
7.05,-0.0358843496336835,-82.0873068991091,-82.0873068991091,-0.0236566029423348
7.1,-0.0359015385717977,-81.8655246639003,-81.8655246639003,-0.0239794237000687
7.15,-0.0359253048978867,-81.6414096995349,-81.6414096995349,-0.0243077761333563
7.2,-0.0359548752296955,-81.4151861910974,-81.4151861910973,-0.024641646487475
7.25,-0.0359895612649334,-81.1870737985906,-81.1870737985905,-0.0249810609267527
7.3,-0.0360287477098327,-80.9572852205852,-80.9572852205852,-0.0253260712497963
7.35,-0.0360718822981301,-80.7260241385665,-80.7260241385665,-0.0256767464439651
7.4,-0.0361184675135234,-80.4934835384739,-80.4934835384739,-0.0260331675432706
7.45,-0.0361680537086795,-80.2598443964796,-80.2598443964796,-0.0263954244188567
7.5,-0.0362202333760663,-80.0252747086695,-80.0252747086695,-0.0267636137343391
7.55,-0.0362746363741062,-79.7899288389146,-79.7899288389145,-0.0271378376221958
7.6,-0.036330925949963,-79.553947155707,-79.553947155707,-0.0275182028174131
7.65,-0.0363887954307935,-79.317455926868,-79.317455926868,-0.0279048200874911
7.7,-0.0364479654783843,-79.0805674405606,-79.0805674405606,-0.0282978038584502
7.75,-0.0365081818216903,-78.8433803217074,-78.8433803217074,-0.0286972719728731
7.8,-0.0365692133967701,-78.6059800144604,-78.6059800144604,-0.0291033455385613
7.85,-0.0366308508359382,-78.3684394035714,-78.3684394035714,-0.0295161488403721
7.9,-0.0366929052582345,-78.1308195501542,-78.1308195501542,-0.0299358092969284
7.95,-0.0367552073207337,-77.8931705202486,-77.8931705202486,-0.0303624574496831
8,-0.0368176064978773,-77.6555322876401,-77.6555322876401,-0.0307962269757896
8.05,-0.036879970560427,-77.4179356954551,-77.4179356954551,-0.0312372547187768
8.1,-0.0369421852309196,-77.1804034640514,-77.1804034640514,-0.031685680732854
8.15,-0.0370041539958473,-76.9429512355977,-76.9429512355977,-0.0321416483378027
8.2,-0.0370657980578909,-76.7055886484538,-76.7055886484538,-0.0326053041824024
8.25,-0.0371270564142041,-76.4683204369845,-76.4683204369845,-0.033076798314809
8.3,-0.0371878860489952,-76.2311475547778,-76.2311475547778,-0.0335562842587785
8.35,-0.0372482622301007,-75.9940683213675,-75.9940683213675,-0.0340439190949878
8.4,-0.0373081789011011,-75.7570795944967,-75.7570795944967,-0.034539863546822
8.45,-0.0373676491616847,-75.5201779717093,-75.5201779717093,-0.0350442820702411
8.5,-0.0374267058299528,-75.2833610266156,-75.2833610266156,-0.0355573429474681
8.55,-0.0374854020813407,-75.046628586557,-75.046628586557,-0.036079218384223
8.6,-0.0375438121595684,-74.8099840595885,-74.8099840595885,-0.036610084610459
8.65,-0.0376020321556796,-74.5734358196893,-74.5734358196893,-0.0371501219844417
8.7,-0.0376601808516267,-74.3369986598873,-74.3369986598873,-0.0376995151001965
8.75,-0.0377184006255894,-74.1006953235022,-74.1006953235022,-0.0382584528982507
8.8,-0.0377768584161167,-73.8645581239245,-73.8645581239245,-0.0388271287797476
8.85,-0.0378357467429402,-73.6286306631854,-73.6286306631854,-0.0394057407239084
8.9,-0.0378952847823182,-73.3929696589409,-73.3929696589409,-0.0399944914089316
8.95,-0.0379557194947516,-73.1576468882705,-73.1576468882705,-0.0405935883363632
9,-0.0380173268034662,-72.9227512547368,-72.9227512547368,-0.0412032439590357
9.05,-0.0380804128217337,-72.688390982275,-72.688390982275,-0.0418236758126245
9.1,-0.0381453151275149,-72.4546959354828,-72.4546959354828,-0.0424551066509444
9.15,-0.0382124040833129,-72.2218200604991,-72.2218200604991,-0.0430977645850419
9.2,-0.0382820842000026,-71.9899439336465,-71.9899439336465,-0.0437518832262437
9.25,-0.0383547955423223,-71.7592773960576,-71.7592773960576,-0.0444177018331861
9.3,-0.0384310151743952,-71.530062241345,-71.530062241345,-0.0450954654630325
9.35,-0.0385112586430746,-71.3025749097434,-71.3025749097434,-0.0457854251269078
9.4,-0.0385960814968705,-71.0771291258838,-71.0771291258838,-0.0464878379497471
9.45,-0.0386860808381304,-70.8540783984021,-70.8540783984022,-0.0472029673346352
9.5,-0.0387818969055584,-70.6338182781129,-70.6338182781129,-0.0479310831317835
9.55,-0.0388842146844365,-70.4167882479697,-70.4167882479697,-0.0486724618123077
9.6,-0.0389937655410813,-70.2034730933875,-70.2034730933875,-0.0494273866469167
9.65,-0.0391113288781402,-69.9944035771593,-69.9944035771593,-0.0501961478896505
9.7,-0.0392377338067204,-69.7901562212532,-69.7901562212532,-0.050979042966886
9.75,-0.0393738608312136,-69.5913519810474,-69.5913519810474,-0.05177637667167
9.8,-0.0395206435418875,-69.3986535895941,-69.3986535895941,-0.0525884613636315
9.85,-0.0396790703105017,-69.2127613544597,-69.2127613544597,-0.0534156171745913
9.9,-0.0398501859829495,-69.0344072120544,-69.0344072120544,-0.0542581722200382
9.95,-0.0400350935630625,-68.8643468884508,-68.8643468884508,-0.0551164628167064
10,-0.0402349558810611,-68.7033500849128,-68.7033500849127,-0.0559908337063467
