freq_ghz,board_1_s21_db,board_2_s21_db,board_3_s21_db,board_4_s21_db,mean_s21_db,std_s21_db,min_s21_db,max_s21_db
8.070000,-8.064000,-8.582947,-8.950876,-8.484217,-8.520510,0.364615,-8.950876,-8.064000
8.080000,-8.152482,-8.671110,-9.038413,-8.572762,-8.608692,0.364223,-9.038413,-8.152482
8.090000,-8.252157,-8.770425,-9.137021,-8.672509,-8.708028,0.363780,-9.137021,-8.252157
8.100000,-8.362884,-8.880750,-9.246560,-8.783315,-8.818377,0.363288,-9.246560,-8.362884
8.110000,-8.484519,-9.001943,-9.366887,-8.905036,-8.939596,0.362746,-9.366887,-8.484519
8.120000,-8.616921,-9.133862,-9.497863,-9.037531,-9.071544,0.362156,-9.497863,-8.616921
8.130000,-8.759947,-9.276365,-9.639345,-9.180657,-9.214079,0.361517,-9.639345,-8.759947
8.140000,-8.913455,-9.429310,-9.791193,-9.334271,-9.367057,0.360831,-9.791193,-8.913455
8.150000,-9.077303,-9.592555,-9.953264,-9.498231,-9.530338,0.360097,-9.953264,-9.077303
8.160000,-9.251347,-9.765959,-10.125418,-9.672395,-9.703780,0.359317,-10.125418,-9.251347
8.170000,-9.435447,-9.949378,-10.307513,-9.856619,-9.887239,0.358490,-10.307513,-9.435447
8.180000,-9.629459,-10.142670,-10.499409,-10.050761,-10.080575,0.357618,-10.499409,-9.629459
8.190000,-9.833242,-10.345695,-10.700963,-10.254679,-10.283645,0.356701,-10.700963,-9.833242
8.200000,-10.046653,-10.558310,-10.912034,-10.468230,-10.496307,0.355739,-10.912034,-10.046653
8.210000,-10.269549,-10.780372,-11.132482,-10.691272,-10.718419,0.354733,-11.132482,-10.269549
8.220000,-10.501788,-11.011740,-11.362164,-10.923661,-10.949838,0.353685,-11.362164,-10.501788
8.230000,-10.743229,-11.252272,-11.600940,-11.165257,-11.190424,0.352593,-11.600940,-10.743229
8.240000,-10.993728,-11.501825,-11.848668,-11.415915,-11.440034,0.351459,-11.848668,-10.993728
8.250000,-11.253143,-11.760258,-12.105206,-11.675493,-11.698525,0.350284,-12.105206,-11.253143
8.260000,-11.521333,-12.027429,-12.370415,-11.943850,-11.965757,0.349067,-12.370415,-11.521333
8.270000,-11.798154,-12.303195,-12.644151,-12.220841,-12.241585,0.347811,-12.644151,-11.798154
8.280000,-12.083465,-12.587415,-12.926275,-12.506326,-12.525870,0.346514,-12.926275,-12.083465
8.290000,-12.377122,-12.879946,-13.216644,-12.800161,-12.818468,0.345179,-13.216644,-12.377122
8.300000,-12.678985,-13.180647,-13.515117,-13.102203,-13.119238,0.343805,-13.515117,-12.678985
8.310000,-12.988909,-13.489375,-13.821554,-13.412310,-13.428037,0.342393,-13.821554,-12.988909
8.320000,-13.306754,-13.805989,-14.135812,-13.730341,-13.744724,0.340944,-14.135812,-13.306754
8.330000,-13.632377,-14.130346,-14.457751,-14.056151,-14.069156,0.339458,-14.457751,-13.632377
8.340000,-13.965635,-14.462305,-14.787228,-14.389599,-14.401192,0.337936,-14.787228,-13.965635
8.350000,-14.306386,-14.801722,-15.124104,-14.730541,-14.740688,0.336380,-15.124104,-14.306386
8.360000,-14.654488,-15.148457,-15.468236,-15.078836,-15.087504,0.334788,-15.468236,-14.654488
8.370000,-15.009799,-15.502367,-15.819483,-15.434341,-15.441498,0.333163,-15.819483,-15.009799
8.380000,-15.372175,-15.863311,-16.177704,-15.796914,-15.802526,0.331505,-16.177704,-15.372175
8.390000,-15.741476,-16.231145,-16.542758,-16.166411,-16.170447,0.329814,-16.542758,-15.741476
8.400000,-16.117558,-16.605729,-16.914502,-16.542690,-16.545120,0.328092,-16.914502,-16.117558
8.410000,-16.500279,-16.986920,-17.292797,-16.925609,-16.926401,0.326338,-17.292797,-16.500279
8.420000,-16.889497,-17.374576,-17.677501,-17.315026,-17.314150,0.324554,-17.677501,-16.889497
8.430000,-17.285069,-17.768555,-18.068472,-17.710796,-17.708223,0.322741,-18.068472,-17.285069
8.440000,-17.686854,-18.168715,-18.465569,-18.112779,-18.108479,0.320898,-18.465569,-17.686854
8.450000,-18.094709,-18.574914,-18.868650,-18.520832,-18.514776,0.319028,-18.868650,-18.094709
8.460000,-18.508491,-18.987010,-19.277575,-18.934812,-18.926972,0.317130,-19.277575,-18.508491
8.470000,-18.928058,-19.404861,-19.692202,-19.354575,-19.344924,0.315206,-19.692202,-18.928058
8.480000,-19.353269,-19.828324,-20.112390,-19.779981,-19.768491,0.313256,-20.112390,-19.353269
8.490000,-19.783980,-20.257259,-20.537998,-20.210887,-20.197531,0.311281,-20.537998,-19.783980
8.500000,-20.220049,-20.691522,-20.968883,-20.647149,-20.631901,0.309282,-20.968883,-20.220049
8.510000,-20.661334,-21.130972,-21.404906,-21.088625,-21.071459,0.307260,-21.404906,-20.661334
8.520000,-21.107693,-21.575467,-21.845924,-21.535173,-21.516064,0.305215,-21.845924,-21.107693
8.530000,-21.558983,-22.024865,-22.291797,-21.986650,-21.965574,0.303148,-22.291797,-21.558983
8.540000,-22.015063,-22.479023,-22.742382,-22.442914,-22.419846,0.301061,-22.742382,-22.015063
8.550000,-22.475788,-22.937800,-23.197539,-22.903822,-22.878738,0.298954,-23.197539,-22.475788
8.560000,-22.941019,-23.401054,-23.657127,-23.369232,-23.342108,0.296828,-23.657127,-22.941019
8.570000,-23.410611,-23.868642,-24.121003,-23.839001,-23.809814,0.294683,-24.121003,-23.410611
8.580000,-23.884423,-24.340423,-24.589027,-24.312986,-24.281715,0.292521,-24.589027,-23.884423
8.590000,-24.362312,-24.816254,-25.061058,-24.791045,-24.757667,0.290344,-25.061058,-24.362312
8.600000,-24.844136,-25.295994,-25.536954,-25.273035,-25.237530,0.288150,-25.536954,-24.844136
8.610000,-25.329754,-25.779500,-26.016573,-25.758815,-25.721160,0.285943,-26.016573,-25.329754
8.620000,-25.819021,-26.266630,-26.499776,-26.248240,-26.208417,0.283721,-26.499776,-25.819021
8.630000,-26.311797,-26.757243,-26.986419,-26.741170,-26.699157,0.281488,-26.986419,-26.311797
8.640000,-26.807938,-27.251197,-27.476362,-27.237460,-27.193239,0.279243,-27.476362,-26.807938
8.650000,-27.307303,-27.748348,-27.969464,-27.736969,-27.690521,0.276988,-27.969464,-27.307303
8.660000,-27.809749,-28.248556,-28.465583,-28.239555,-28.190861,0.274723,-28.465583,-27.809749
8.670000,-28.315134,-28.751679,-28.964578,-28.745074,-28.694116,0.272450,-28.964578,-28.315134
8.680000,-28.823315,-29.257573,-29.466308,-29.253384,-29.200145,0.270170,-29.466308,-28.823315
8.690000,-29.334150,-29.766098,-29.970632,-29.764342,-29.708805,0.267884,-29.970632,-29.334150
8.700000,-29.847498,-30.277110,-30.477407,-30.277807,-30.219955,0.265593,-30.477407,-29.847498
8.710000,-30.363214,-30.790469,-30.986493,-30.793635,-30.733453,0.263299,-30.986493,-30.363214
8.720000,-30.881158,-31.306032,-31.497749,-31.311684,-31.249156,0.261001,-31.497749,-30.881158
8.730000,-31.401187,-31.823657,-32.011032,-31.831811,-31.766922,0.258703,-32.011032,-31.401187
8.740000,-31.923159,-32.343202,-32.526203,-32.353874,-32.286609,0.256404,-32.526203,-31.923159
