freq_ghz,measured_mean_s21_db,sim_s21_db,error_db
8.290000,-12.818468,-8.655065,4.163404
8.300000,-13.119238,-8.688164,4.431074
8.310000,-13.428037,-8.735584,4.692454
8.320000,-13.744724,-8.783003,4.961721
8.330000,-14.069156,-8.830423,5.238733
8.340000,-14.401192,-8.877842,5.523349
8.350000,-14.740688,-8.925262,5.815427
8.360000,-15.087504,-8.990864,6.096640
8.370000,-15.441498,-9.056466,6.385031
8.380000,-15.802526,-9.122068,6.680458
8.390000,-16.170447,-9.187671,6.982777
8.400000,-16.545120,-9.253273,7.291847
8.410000,-16.926401,-9.341059,7.585342
8.420000,-17.314150,-9.428846,7.885304
8.430000,-17.708223,-9.516633,8.191590
8.440000,-18.108479,-9.604419,8.504060
8.450000,-18.514776,-9.692206,8.822570
8.460000,-18.926972,-9.806815,9.120157
8.470000,-19.344924,-9.921423,9.423501
8.480000,-19.768491,-10.036032,9.732459
8.490000,-20.197531,-10.150641,10.046890
8.500000,-20.631901,-10.265250,10.366651
8.510000,-21.071459,-10.412400,10.659060
8.520000,-21.516064,-10.559550,10.956515
8.530000,-21.965574,-10.706700,11.258874
8.540000,-22.419846,-10.853850,11.565995
8.550000,-22.878738,-11.001000,11.877737
8.560000,-23.342108,-11.187475,12.154633
8.570000,-23.809814,-11.373949,12.435865
8.580000,-24.281715,-11.560424,12.721291
8.590000,-24.757667,-11.746898,13.010769
8.600000,-25.237530,-11.933373,13.304157
8.610000,-25.721160,-12.166001,13.555159
8.620000,-26.208417,-12.398630,13.809787
8.630000,-26.699157,-12.631258,14.067899
8.640000,-27.193239,-12.863886,14.329353
8.650000,-27.690521,-13.096515,14.594006
8.660000,-28.190861,-13.379923,14.810938
8.670000,-28.694116,-13.663331,15.030786
8.680000,-29.200145,-13.946738,15.253407
8.690000,-29.708805,-14.230146,15.478659
8.700000,-30.219955,-14.513554,15.706402
8.710000,-30.733453,-14.847520,15.885933
8.720000,-31.249156,-15.181486,16.067670
8.730000,-31.766922,-15.515452,16.251470
8.740000,-32.286609,-15.849417,16.437192
8.750000,-32.808076,-16.183383,16.624693
8.760000,-33.331180,-16.561704,16.769476
8.770000,-33.855779,-16.940024,16.915754
8.780000,-34.381731,-17.318345,17.063386
8.790000,-34.908894,-17.696666,17.212229
8.800000,-35.437126,-18.074986,17.362140
8.810000,-35.966286,-18.487033,17.479253
8.820000,-36.496230,-18.899080,17.597150
8.830000,-37.026817,-19.311127,17.715690
8.840000,-37.557904,-19.723174,17.834730
8.850000,-38.089351,-20.135221,17.954130
8.860000,-38.621014,-20.569169,18.051845
8.870000,-39.152751,-21.003117,18.149634
8.880000,-39.684422,-21.437066,18.247356
8.890000,-40.215882,-21.871014,18.344869
8.900000,-40.746992,-22.304962,18.442030
8.910000,-41.277608,-22.750584,18.527023
8.920000,-41.807588,-23.196206,18.611381
8.930000,-42.336790,-23.641828,18.694962
8.940000,-42.865073,-24.087451,18.777622
8.950000,-43.392294,-24.533073,18.859221
8.960000,-43.918311,-24.982929,18.935382
8.970000,-44.442982,-25.432785,19.010197
8.980000,-44.966165,-25.882641,19.083525
8.990000,-45.487719,-26.332497,19.155222
9.000000,-46.007500,-26.782353,19.225147
