freq_ghz,s11_db,s21_db,s12_db,s22_db
8.95,-19.1153,-0.624488,-0.624488,-20.9141
9,-18.7793,-0.63277,-0.63277,-20.4274
9.05,-18.4454,-0.641378,-0.641378,-19.9585
9.1,-18.1157,-0.650304,-0.650304,-19.5078
9.15,-17.7915,-0.659539,-0.659539,-19.0754
9.2,-17.4739,-0.669073,-0.669073,-18.661
9.25,-17.1639,-0.678897,-0.678897,-18.2643
9.3,-16.8618,-0.688999,-0.688999,-17.8845
9.35,-16.5683,-0.699366,-0.699366,-17.5211
9.4,-16.2835,-0.709986,-0.709986,-17.1735
9.45,-16.0075,-0.720844,-0.720844,-16.8408
9.5,-15.7405,-0.731928,-0.731928,-16.5225
9.55,-15.4824,-0.743221,-0.743221,-16.2178
9.6,-15.2332,-0.754709,-0.754709,-15.9263
9.65,-14.9927,-0.766374,-0.766374,-15.6472
9.7,-14.7608,-0.778201,-0.778201,-15.3801
9.75,-14.5373,-0.790174,-0.790174,-15.1244
9.8,-14.3221,-0.802273,-0.802273,-14.8795
9.85,-14.1149,-0.814483,-0.814483,-14.6451
9.9,-13.9156,-0.826786,-0.826786,-14.4206
9.95,-13.724,-0.839163,-0.839163,-14.2058
10,-13.5398,-0.851598,-0.851598,-14
