"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port2,Port2)) []"
2.9,-37.260201896768,-0.367575762002628,-0.367575762002626,-36.0177960814466
3,-32.4334237453956,-0.380396367209973,-0.380396367209973,-31.9352165906667
3.1,-29.4295045463896,-0.393937910107216,-0.393937910107222,-29.1559077210275
3.2,-27.2889032561075,-0.408055779045052,-0.408055779045048,-27.1151264526837
3.3,-25.6640228682965,-0.422576478382367,-0.422576478382381,-25.5448807239214
3.4,-24.3894449987598,-0.437306673032746,-0.437306673032754,-24.3043730858675
3.5,-23.3737278368792,-0.45204304512996,-0.452043045129966,-23.311886027962
3.6,-22.5613492581221,-0.466582435630694,-0.466582435630703,-22.5163956280585
3.7,-21.9164652619246,-0.480731755613049,-0.480731755613056,-21.8843779398994
3.8,-21.4150342431116,-0.49431719188643,-0.494317191886432,-21.3930828550904
3.9,-21.0406425702771,-0.507192292503585,-0.507192292503585,-21.0268528229499
4,-20.7821532379579,-0.519244592741385,-0.51924459274139,-20.7750037677519
4.1,-20.6323361064156,-0.530400524653308,-0.530400524653315,-20.6305714903401
4.2,-20.5870738766552,-0.540628438305553,-0.540628438305572,-20.5895761682209
4.3,-20.644941191447,-0.549939646810822,-0.549939646810822,-20.6506270774269
4.4,-20.8070604990896,-0.558387488303845,-0.558387488303856,-20.8147806344224
4.5,-21.0772040637851,-0.566064475225476,-0.566064475225494,-21.0856216133775
4.6,-21.4621651981969,-0.573097674445272,-0.573097674445282,-21.4695825991271
4.7,-21.9724842562434,-0.579642530592578,-0.579642530592587,-21.9765660847307
4.8,-22.623712443461,-0.585875408689729,-0.585875408689732,-22.6210042736189
4.9,-23.4385790657441,-0.591985189108129,-0.591985189108137,-23.423610841347
5,-24.4508122522412,-0.598164295323645,-0.598164295323656,-24.4142975997974
5.1,-25.7122601770211,-0.604599569422675,-0.604599569422681,-25.6371426222724
5.2,-27.3073090790445,-0.611463427895853,-0.611463427895861,-27.1590358910031
5.3,-29.3857295839524,-0.618905727294861,-0.618905727294869,-29.0844081759854
5.4,-32.2517360079145,-0.627046743162801,-0.627046743162811,-31.5736582287385
5.5,-36.6840779366131,-0.635971615349379,-0.635971615349388,-34.7902117394815
5.6,-45.8588732482901,-0.645726539706055,-0.645726539706058,-38.0151078459103
5.7,-44.3541357867708,-0.656316893988649,-0.656316893988644,-37.4317958460035
5.8,-36.1203504453365,-0.667707380580744,-0.66770738058074,-34.0135335817352
5.9,-31.9592959832325,-0.679824158023432,-0.679824158023421,-31.0006116338813
6,-29.2309586412094,-0.692558825638402,-0.692558825638395,-28.6910652827632
6.1,-27.2434839022963,-0.705774028758878,-0.705774028758868,-26.9013498526171
6.2,-25.7175255013861,-0.719310372883344,-0.719310372883322,-25.485104002519
6.3,-24.51298460336,-0.732994277995401,-0.732994277995385,-24.3483241454323
6.4,-23.5499636911687,-0.746646371420802,-0.746646371420777,-23.4304127217747
6.5,-22.7789387884531,-0.760090008557802,-0.760090008557789,-22.6910801600062
6.6,-22.1674644921247,-0.773159523215886,-0.773159523215858,-22.1027571508016
6.7,-21.6935331734958,-0.78570783934902,-0.785707839348991,-21.6462097808324
6.8,-21.3419793185448,-0.797613119281353,-0.79761311928132,-21.3079383804094
6.9,-21.1024221500018,-0.808784175809046,-0.808784175809036,-21.0785946422338
7,-20.9680529712208,-0.819164433220693,-0.819164433220694,-20.9520065625433
7.1,-20.9349254758213,-0.828734282725897,-0.828734282725896,-20.9245878316217
7.2,-21.0015750569645,-0.837511739551248,-0.837511739551249,-20.9950100245418
7.3,-21.1688821902699,-0.845551371553456,-0.84555137155347,-21.1640751237378
7.4,-21.44015022223,-0.852941532761446,-0.852941532761468,-21.4347647051021
7.5,-21.8214121680734,-0.859800000134747,-0.859800000134759,-21.8124730957433
7.6,-22.3220305736593,-0.866268178063003,-0.866268178063012,-22.305463716275
7.7,-22.9557281297876,-0.872504102033364,-0.872504102033386,-22.9256289392774
7.8,-23.7423181846591,-0.878674538670122,-0.878674538670118,-23.689693918469
7.9,-24.7106670567326,-0.88494654098423,-0.884946540984228,-24.6210939512119
8,-25.903994867986,-0.891478871001282,-0.891478871001274,-25.7528646841886
8.1,-27.3900007879976,-0.898413742035443,-0.898413742035443,-27.1318775221665
8.2,-29.2819764992804,-0.905869354658266,-0.905869354658245,-28.8237456517841
8.3,-31.7881161211807,-0.913933699414902,-0.913933699414897,-30.9105068833668
8.4,-35.3419149458443,-0.922660072558039,-0.92266007255806,-33.4289256099382
8.5,-40.8722508511614,-0.932064697642927,-0.932064697642928,-35.9773624957504
8.6,-44.4860431337805,-0.942126767453486,-0.942126767453477,-36.7696280414532
8.7,-38.2410023235261,-0.952791121638491,-0.952791121638526,-34.8926321435441
8.8,-33.8388865877282,-0.963973661897854,-0.963973661897853,-32.3459113012045
8.9,-30.9344339568817,-0.975569485945853,-0.975569485945868,-30.1413110997476
9,-28.8444654435659,-0.987463601087928,-0.987463601087928,-28.3673109741428
9.1,-27.2608977830972,-0.999543964042334,-0.99954396404237,-26.9477014345869
9.2,-26.0270821319697,-1.01171648923841,-1.01171648923841,-25.8073115097956
9.3,-25.0540281420146,-1.02392157389179,-1.0239215738918,-24.8906675695352
9.4,-24.2870370662399,-1.03615160242932,-1.03615160242931,-24.1585409516748
9.5,-23.6906466773227,-1.04846881076449,-1.04846881076444,-23.5830734077344
9.6,-23.2411177707559,-1.06102280701802,-1.06102280701794,-23.1441860163906
9.7,-22.9223900937579,-1.07406695497783,-1.07406695497774,-22.8271828377702
9.8,-22.7237880222162,-1.08797272859809,-1.08797272859799,-22.6211769002293
9.9,-22.6386831632522,-1.10324104465065,-1.10324104465058,-22.5180536183924
10,-22.6637251436214,-1.12050948898913,-1.12050948898913,-22.511788674792
