"Freq [GHz]","dB(S(Port2,Port2)) []","dB(S(S1_1_Pin_T1,Port2)) []","dB(S(Port2,S1_1_Pin_T1)) []","dB(S(S1_1_Pin_T1,S1_1_Pin_T1)) []"
8.4,-4.41308272359371,-4.30259151204764,-4.30259151204764,-3.30417467519567
8.5,-4.57036271942465,-4.22500284597555,-4.22500284597556,-3.39894165919473
8.6,-4.73946197221404,-4.14398264014852,-4.14398264014853,-3.50137661309997
8.7,-4.92107680737817,-4.06110047498849,-4.0611004749885,-3.61301795483748
8.8,-5.11883308582352,-3.97860255462781,-3.97860255462782,-3.73683826703595
8.9,-5.34323724996461,-3.90117266490041,-3.90117266490042,-3.87830393077241
9,-5.62068441036796,-3.84247095582834,-3.84247095582835,-4.04584713744835
9.1,-6.00613817489936,-3.84940510809617,-3.84940510809617,-4.23857265794407
9.2,-6.48899708341136,-4.05175982779841,-4.05175982779834,-4.34680014551744
9.3,-6.50931499593649,-4.37818160635678,-4.37818160635674,-4.12755562064062
9.4,-6.13826632429733,-4.32085491188831,-4.32085491188829,-3.97980212082011
9.5,-6.01596929762875,-4.13088194555227,-4.13088194555226,-4.06342137319503
9.6,-6.07893845380204,-4.01436324486743,-4.01436324486744,-4.2383304740356
9.7,-6.22949273993945,-4.02187862721587,-4.02187862721586,-4.42482910029926
9.8,-6.29672784417631,-4.19401472802251,-4.19401472802253,-4.45070096489265
9.9,-6.05621700440707,-4.30797421068145,-4.30797421068145,-4.22148454424746
10,-5.82083036197767,-4.15568551700931,-4.15568551700931,-4.08715597366988
